"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATING_EQUIPMENT_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"WEST","HOT-HUMID","HAWAII",474378,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",2375,0.5
"WEST","HOT-HUMID","HAWAII",474378,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",0,0
"WEST","HOT-HUMID","HAWAII",474378,"WOOD OR PELLET STOVE",0,0
"WEST","HOT-HUMID","HAWAII",474378,"PORTABLE ELECTRIC HEATER",6255,1.3
"WEST","HOT-HUMID","HAWAII",474378,"MINISPLIT",0,0
"WEST","HOT-HUMID","HAWAII",474378,"OTHER",4839,1
"WEST","COLD","IDAHO",656511,"DO NOT USE HEATER",0,0
"WEST","COLD","IDAHO",656511,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",6774,1
"WEST","COLD","IDAHO",656511,"CENTRAL FURNACE",485247,73.9
"WEST","COLD","IDAHO",656511,"CENTRAL HEAT PUMP",15964,2.4
"WEST","COLD","IDAHO",656511,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",70149,10.7
"WEST","COLD","IDAHO",656511,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",9304,1.4
"WEST","COLD","IDAHO",656511,"WOOD OR PELLET STOVE",39125,6
"WEST","COLD","IDAHO",656511,"PORTABLE ELECTRIC HEATER",9286,1.4
"WEST","COLD","IDAHO",656511,"MINISPLIT",2585,0.4
"WEST","COLD","IDAHO",656511,"OTHER",18076,2.8
"MIDWEST","COLD","ILLINOIS",4900521,"DO NOT USE HEATER",42777,0.9
"MIDWEST","COLD","ILLINOIS",4900521,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",554307,11.3
"MIDWEST","COLD","ILLINOIS",4900521,"CENTRAL FURNACE",3736877,76.2
"MIDWEST","COLD","ILLINOIS",4900521,"CENTRAL HEAT PUMP",108582,2.2
"MIDWEST","COLD","ILLINOIS",4900521,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",321155,6.6
"MIDWEST","COLD","ILLINOIS",4900521,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",68618,1.4
"MIDWEST","COLD","ILLINOIS",4900521,"WOOD OR PELLET STOVE",23343,0.5
"MIDWEST","COLD","ILLINOIS",4900521,"PORTABLE ELECTRIC HEATER",27984,0.6
"MIDWEST","COLD","ILLINOIS",4900521,"MINISPLIT",9232,0.2
"MIDWEST","COLD","ILLINOIS",4900521,"OTHER",7645,0.2
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"DO NOT USE HEATER",10427,0.4
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",84675,3.3
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"CENTRAL FURNACE",2118799,81.5
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"CENTRAL HEAT PUMP",170105,6.5
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",140600,5.4
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",32773,1.3
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"WOOD OR PELLET STOVE",24801,0.9
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"PORTABLE ELECTRIC HEATER",6365,0.2
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"MINISPLIT",5396,0.2
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"OTHER",5657,0.2
"MIDWEST","COLD","IOWA",1281948,"DO NOT USE HEATER",0,0
"MIDWEST","COLD","IOWA",1281948,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",88352,6.9
"MIDWEST","COLD","IOWA",1281948,"CENTRAL FURNACE",1068911,83.4
"MIDWEST","COLD","IOWA",1281948,"CENTRAL HEAT PUMP",55815,4.3
"MIDWEST","COLD","IOWA",1281948,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",48214,3.8
"MIDWEST","COLD","IOWA",1281948,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",13637,1.1
"MIDWEST","COLD","IOWA",1281948,"WOOD OR PELLET STOVE",3484,0.3
"MIDWEST","COLD","IOWA",1281948,"PORTABLE ELECTRIC HEATER",0,0
"MIDWEST","COLD","IOWA",1281948,"MINISPLIT",3535,0.3
"MIDWEST","COLD","IOWA",1281948,"OTHER",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"DO NOT USE HEATER",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",5078,0.4
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"CENTRAL FURNACE",974909,86.5
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"CENTRAL HEAT PUMP",67197,6
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",24988,2.2
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",22157,2
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"WOOD OR PELLET STOVE",22526,2
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"PORTABLE ELECTRIC HEATER",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"MINISPLIT",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"OTHER",10217,0.9
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"DO NOT USE HEATER",10032,0.6
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",29185,1.7
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"CENTRAL FURNACE",1138643,65.5
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"CENTRAL HEAT PUMP",382237,22
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",65518,3.8
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",33146,1.9
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"WOOD OR PELLET STOVE",32823,1.9
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"PORTABLE ELECTRIC HEATER",19760,1.1
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"MINISPLIT",15444,0.9
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"OTHER",11474,0.7
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"DO NOT USE HEATER",51528,3
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",0,0
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"CENTRAL FURNACE",983985,57
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"CENTRAL HEAT PUMP",355096,20.6
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",164284,9.5
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",35182,2
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"WOOD OR PELLET STOVE",15862,0.9
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"PORTABLE ELECTRIC HEATER",94076,5.4
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"MINISPLIT",9436,0.6
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"OTHER",17776,1
"NORTHEAST","COLD","MAINE",564535,"DO NOT USE HEATER",0,0
"NORTHEAST","COLD","MAINE",564535,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",176556,31.3
"NORTHEAST","COLD","MAINE",564535,"CENTRAL FURNACE",257958,45.7
"NORTHEAST","COLD","MAINE",564535,"CENTRAL HEAT PUMP",2624,0.5
"NORTHEAST","COLD","MAINE",564535,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",20162,3.6
"NORTHEAST","COLD","MAINE",564535,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",35921,6.4
"NORTHEAST","COLD","MAINE",564535,"WOOD OR PELLET STOVE",41334,7.3
"NORTHEAST","COLD","MAINE",564535,"PORTABLE ELECTRIC HEATER",0,0
"NORTHEAST","COLD","MAINE",564535,"MINISPLIT",22300,4
"NORTHEAST","COLD","MAINE",564535,"OTHER",7679,1.4
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"DO NOT USE HEATER",43185,1.9
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",160550,7
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"CENTRAL FURNACE",1458402,63.9
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"CENTRAL HEAT PUMP",423887,18.6
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",115700,5.1
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",24315,1.1
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"WOOD OR PELLET STOVE",18330,0.8
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"PORTABLE ELECTRIC HEATER",12105,0.5
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"MINISPLIT",24861,1.1
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"OTHER",0,0
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"DO NOT USE HEATER",10323,0.4
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",704682,26
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"CENTRAL FURNACE",1493205,55
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"CENTRAL HEAT PUMP",57973,2.1
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",269603,9.9
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",77450,2.9
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"WOOD OR PELLET STOVE",43093,1.6
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"PORTABLE ELECTRIC HEATER",5458,0.2
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"MINISPLIT",43205,1.6
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"OTHER",8787,0.3
"MIDWEST","COLD","MICHIGAN",3918917,"DO NOT USE HEATER",0,0
"MIDWEST","COLD","MICHIGAN",3918917,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",334566,8.5
"MIDWEST","COLD","MICHIGAN",3918917,"CENTRAL FURNACE",3243291,82.8
"MIDWEST","COLD","MICHIGAN",3918917,"CENTRAL HEAT PUMP",73069,1.9
"MIDWEST","COLD","MICHIGAN",3918917,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",143115,3.6
"MIDWEST","COLD","MICHIGAN",3918917,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",47010,1.2
"MIDWEST","COLD","MICHIGAN",3918917,"WOOD OR PELLET STOVE",67242,1.7
"MIDWEST","COLD","MICHIGAN",3918917,"PORTABLE ELECTRIC HEATER",0,0
"MIDWEST","COLD","MICHIGAN",3918917,"MINISPLIT",0,0
"MIDWEST","COLD","MICHIGAN",3918917,"OTHER",10625,0.3
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"DO NOT USE HEATER",0,0
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",344636,15.5
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"CENTRAL FURNACE",1620143,72.7
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"CENTRAL HEAT PUMP",43700,2
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",137340,6.2
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",40901,1.8
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"WOOD OR PELLET STOVE",24324,1.1
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"PORTABLE ELECTRIC HEATER",5508,0.2
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"MINISPLIT",0,0
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"OTHER",13232,0.6
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"DO NOT USE HEATER",4746,0.4
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",5953,0.6
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"CENTRAL FURNACE",583410,53.8
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"CENTRAL HEAT PUMP",308669,28.5
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",41955,3.9
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",61368,5.7
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"WOOD OR PELLET STOVE",8011,0.7
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"PORTABLE ELECTRIC HEATER",41661,3.8
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"MINISPLIT",12080,1.1
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"OTHER",16680,1.5
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"DO NOT USE HEATER",15343,0.6
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",29941,1.2
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"CENTRAL FURNACE",1838871,75.7
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"CENTRAL HEAT PUMP",231296,9.5
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",97272,4
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",80899,3.3
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"WOOD OR PELLET STOVE",52856,2.2
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"PORTABLE ELECTRIC HEATER",38753,1.6
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"MINISPLIT",23161,0.9
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"OTHER",21421,0.9
"WEST","COLD","MONTANA",433329,"DO NOT USE HEATER",0,0
"WEST","COLD","MONTANA",433329,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",44318,10.2
"WEST","COLD","MONTANA",433329,"CENTRAL FURNACE",280971,64.8
"WEST","COLD","MONTANA",433329,"CENTRAL HEAT PUMP",5905,1.4
"WEST","COLD","MONTANA",433329,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",48639,11.2
"WEST","COLD","MONTANA",433329,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",7835,1.8
"WEST","COLD","MONTANA",433329,"WOOD OR PELLET STOVE",31513,7.3
"WEST","COLD","MONTANA",433329,"PORTABLE ELECTRIC HEATER",5491,1.3
"WEST","COLD","MONTANA",433329,"MINISPLIT",4975,1.1
"WEST","COLD","MONTANA",433329,"OTHER",3682,0.8
